model,Epoch,Framework,Value
lstm,8,pytorch,0.925176
lstm,9,pytorch,0.945514667
lstm,10,pytorch,0.964173333
lstm,11,pytorch,0.976765333
lstm,12,pytorch,0.983552
lstm,13,pytorch,0.988914667
lstm,14,pytorch,0.990397333
lstm,15,pytorch,0.991981333
lstm,16,pytorch,0.994077333
lstm,17,pytorch,0.994333333
lstm,18,pytorch,0.994056
lstm,19,pytorch,0.996010667
lstm,20,pytorch,0.995176
lstm,21,pytorch,0.994965333
lstm,22,pytorch,0.996056
lstm,23,pytorch,0.995525333
lstm,24,pytorch,0.995834667
lstm,25,pytorch,0.995898667
lstm,26,pytorch,0.995941333
lstm,27,pytorch,0.996608
lstm,28,pytorch,0.996821333
lstm,29,pytorch,0.996888
lstm,30,pytorch,0.99664
lstm,31,pytorch,0.997096
lstm,32,pytorch,0.996938667
lstm,33,pytorch,0.996304
lstm,34,pytorch,0.997277333
lstm,35,pytorch,0.99788
lstm,36,pytorch,0.998002667
lstm,37,pytorch,0.997773333
lstm,38,pytorch,0.996813333
lstm,39,pytorch,0.998058667
lstm,40,pytorch,0.998048
lstm,41,pytorch,0.997186667
lstm,42,pytorch,0.997389333
lstm,43,pytorch,0.997642667
lstm,44,pytorch,0.997336
lstm,45,pytorch,0.998114667
lstm,46,pytorch,0.9984
lstm,47,pytorch,0.998197333
lstm,48,pytorch,0.997912
lstm,49,pytorch,0.997528
lstm,50,pytorch,0.998085333
gru,1,pytorch,0.750522667
gru,2,pytorch,0.845352
gru,3,pytorch,0.867277333
gru,4,pytorch,0.882581333
gru,5,pytorch,0.900352
gru,6,pytorch,0.924064
gru,7,pytorch,0.949072
gru,8,pytorch,0.970016
gru,9,pytorch,0.980402667
gru,10,pytorch,0.987242667
gru,11,pytorch,0.990154667
gru,12,pytorch,0.991941333
gru,13,pytorch,0.992901333
gru,14,pytorch,0.99436
gru,15,pytorch,0.994936
gru,16,pytorch,0.994064
gru,17,pytorch,0.995373333
gru,18,pytorch,0.99628
gru,19,pytorch,0.995469333
gru,20,pytorch,0.995824
gru,21,pytorch,0.996109333
gru,22,pytorch,0.995578667
gru,23,pytorch,0.996146667
gru,24,pytorch,0.996482667
gru,25,pytorch,0.996288
gru,26,pytorch,0.996477333
gru,27,pytorch,0.997056
gru,28,pytorch,0.996381333
gru,29,pytorch,0.996362667
gru,30,pytorch,0.996669333
gru,31,pytorch,0.996757333
gru,32,pytorch,0.997301333
gru,33,pytorch,0.996842667
gru,34,pytorch,0.997192
gru,35,pytorch,0.997005333
gru,36,pytorch,0.996568
gru,37,pytorch,0.996952
gru,38,pytorch,0.997226667
gru,39,pytorch,0.997221333
gru,40,pytorch,0.997442667
gru,41,pytorch,0.996938667
gru,42,pytorch,0.99684
gru,43,pytorch,0.997504
gru,44,pytorch,0.997194667
gru,45,pytorch,0.997413333
gru,46,pytorch,0.997208
gru,47,pytorch,0.997848
gru,48,pytorch,0.996976
gru,49,pytorch,0.997546667
gru,50,pytorch,0.997434667
