model,Epoch,Framework,Framework_mean,Framework_std,Value,std
VGG,47,Keras,Keras (mean),Keras (std),0.9962574958801269,0.005333815198965877
VGG,48,Keras,Keras (mean),Keras (std),0.9925100088119507,0.016821453383571546
VGG,49,Keras,Keras (mean),Keras (std),0.9939824998378753,0.014651179714500844
VGG,50,Keras,Keras (mean),Keras (std),0.9964024960994721,0.007785948391217317
LSTM,1,Keras,Keras (mean),Keras (std),0.8347825109958649,0.004705939830463148
LSTM,2,Keras,Keras (mean),Keras (std),0.9434775054454804,0.0014824550152004363
LSTM,3,Keras,Keras (mean),Keras (std),0.9734050035476685,0.0024693084504550135
LSTM,4,Keras,Keras (mean),Keras (std),0.9847849905490875,0.0012609170612817115
LSTM,5,Keras,Keras (mean),Keras (std),0.9884050011634826,0.0012164970238598078
LSTM,6,Keras,Keras (mean),Keras (std),0.9915574967861176,0.0014092577382487533
LSTM,7,Keras,Keras (mean),Keras (std),0.9923374950885773,0.003367197405860384
LSTM,8,Keras,Keras (mean),Keras (std),0.9926425039768219,0.003927437490052822
LSTM,9,Keras,Keras (mean),Keras (std),0.995644998550415,0.0012941467539735142
LSTM,10,Keras,Keras (mean),Keras (std),0.9961650013923645,0.0011972999366089672
LSTM,11,Keras,Keras (mean),Keras (std),0.9965000033378602,0.0007781432642738886
LSTM,12,Keras,Keras (mean),Keras (std),0.9972299933433533,0.0008660054590308951
LSTM,13,Keras,Keras (mean),Keras (std),0.9970100045204162,0.0012699554079376022
LSTM,14,Keras,Keras (mean),Keras (std),0.9970900058746338,0.000925547571685959
LSTM,15,Keras,Keras (mean),Keras (std),0.9975825011730194,0.0009246706185128345
LSTM,16,Keras,Keras (mean),Keras (std),0.9979875087738037,0.0007418120633149672
LSTM,17,Keras,Keras (mean),Keras (std),0.9980775058269501,0.0006726275243973732
LSTM,18,Keras,Keras (mean),Keras (std),0.9979374945163727,0.0011001285811319216
LSTM,19,Keras,Keras (mean),Keras (std),0.9984800040721893,0.0008090730587134226
LSTM,20,Keras,Keras (mean),Keras (std),0.9985699892044068,0.0006651857795435718
LSTM,21,Keras,Keras (mean),Keras (std),0.9986925065517426,0.00031086063995655605
LSTM,22,Keras,Keras (mean),Keras (std),0.9986275136470795,0.0007857661391054164
LSTM,23,Keras,Keras (mean),Keras (std),0.9985700011253357,0.0006410655698036609
LSTM,24,Keras,Keras (mean),Keras (std),0.998612505197525,0.0011116532196163442
LSTM,25,Keras,Keras (mean),Keras (std),0.9988700032234192,0.0004718114522989848
LSTM,26,Keras,Keras (mean),Keras (std),0.9988099992275238,0.00041476879872521036
LSTM,27,Keras,Keras (mean),Keras (std),0.9984974980354309,0.001009106096964927
LSTM,28,Keras,Keras (mean),Keras (std),0.9990700006484985,0.0005841393650370119
LSTM,29,Keras,Keras (mean),Keras (std),0.9992399990558625,0.0005592583001839111
LSTM,30,Keras,Keras (mean),Keras (std),0.9994050025939941,0.00044648314384280845
LSTM,31,Keras,Keras (mean),Keras (std),0.9989549934864044,0.0012545418861254314
LSTM,32,Keras,Keras (mean),Keras (std),0.9994024991989136,0.0005923016991508559
LSTM,33,Keras,Keras (mean),Keras (std),0.9995949983596801,0.0005546230957208946
LSTM,34,Keras,Keras (mean),Keras (std),0.9997249960899353,0.0003236568707142668
LSTM,35,Keras,Keras (mean),Keras (std),0.9994874954223633,0.0008702884508425374
LSTM,36,Keras,Keras (mean),Keras (std),0.9994899988174438,0.0010242188939548794
LSTM,37,Keras,Keras (mean),Keras (std),0.9997274994850158,0.0004812063605437247
LSTM,38,Keras,Keras (mean),Keras (std),0.9997549951076508,0.00045700447717064247
LSTM,39,Keras,Keras (mean),Keras (std),0.9999700009822845,5.9993068665045776e-05
LSTM,40,Keras,Keras (mean),Keras (std),0.9999949991703033,1.500248908996582e-05
LSTM,41,Keras,Keras (mean),Keras (std),0.9999949991703033,1.500248908996582e-05
LSTM,42,Keras,Keras (mean),Keras (std),0.9999949991703033,1.500248908996582e-05
LSTM,43,Keras,Keras (mean),Keras (std),0.9999949991703033,1.500248908996582e-05
LSTM,44,Keras,Keras (mean),Keras (std),0.9997874975204468,0.0006375074386596679
LSTM,45,Keras,Keras (mean),Keras (std),0.999370002746582,0.001889991760253873
LSTM,46,Keras,Keras (mean),Keras (std),0.9998849987983703,0.00034500360488891606
LSTM,47,Keras,Keras (mean),Keras (std),0.9999149978160858,0.00025500655174255367
LSTM,48,Keras,Keras (mean),Keras (std),0.9999575018882751,0.00012749433517452726
LSTM,49,Keras,Keras (mean),Keras (std),0.9999925017356872,2.2494792938232424e-05
LSTM,50,Keras,Keras (mean),Keras (std),0.9999899983406066,3.0004978179964945e-05
GRU,1,Keras,Keras (mean),Keras (std),0.8253824949264527,0.0060666057209407985
GRU,2,Keras,Keras (mean),Keras (std),0.9468874871730805,0.004197414080837455
GRU,3,Keras,Keras (mean),Keras (std),0.9849475026130676,0.003352043181025979
GRU,4,Keras,Keras (mean),Keras (std),0.9954674959182739,0.001336128985905181
GRU,5,Keras,Keras (mean),Keras (std),0.9978150069713593,0.0006689775852363294
GRU,6,Keras,Keras (mean),Keras (std),0.9984875023365021,0.0003292508053347637
GRU,7,Keras,Keras (mean),Keras (std),0.9988649904727935,0.00044849483418185664
GRU,8,Keras,Keras (mean),Keras (std),0.9988375067710876,0.0003757074446181289
GRU,9,Keras,Keras (mean),Keras (std),0.9989675045013428,0.000480634226687409
GRU,10,Keras,Keras (mean),Keras (std),0.9988525032997131,0.00065608249300101
GRU,11,Keras,Keras (mean),Keras (std),0.99911749958992,0.000459221066895721
GRU,12,Keras,Keras (mean),Keras (std),0.9994175016880036,0.0003078209028056677
GRU,13,Keras,Keras (mean),Keras (std),0.9994849979877471,0.00044835820302429165
GRU,14,Keras,Keras (mean),Keras (std),0.999572503566742,0.0003397534120838531
GRU,15,Keras,Keras (mean),Keras (std),0.999524998664856,0.0004311273884572054
GRU,16,Keras,Keras (mean),Keras (std),0.999685001373291,0.00031803996001658304
GRU,17,Keras,Keras (mean),Keras (std),0.9995850086212158,0.00039814499495532317
GRU,18,Keras,Keras (mean),Keras (std),0.9993624985218048,0.0006727085698340674
GRU,19,Keras,Keras (mean),Keras (std),0.9996649980545044,0.0003855589492618231
GRU,20,Keras,Keras (mean),Keras (std),0.9998750030994416,0.0002156308353543832
GRU,21,Keras,Keras (mean),Keras (std),0.9998825073242188,0.0002310425988591953
GRU,22,Keras,Keras (mean),Keras (std),0.9998950004577637,0.0002039658406646649
GRU,23,Keras,Keras (mean),Keras (std),0.9999300062656402,0.00014738957462210697
GRU,24,Keras,Keras (mean),Keras (std),0.9998650014400482,0.00032848351236920297
GRU,25,Keras,Keras (mean),Keras (std),0.9999625027179718,9.0308383644327e-05
GRU,26,Keras,Keras (mean),Keras (std),0.9999725043773651,7.453493526373031e-05
GRU,27,Keras,Keras (mean),Keras (std),0.9999724984169006,8.25047492980957e-05
GRU,28,Keras,Keras (mean),Keras (std),0.9999875009059906,3.749728202819824e-05
GRU,29,Keras,Keras (mean),Keras (std),0.9998799979686737,0.00036000609397884853
GRU,30,Keras,Keras (mean),Keras (std),0.9999300003051758,0.00020999908447265627
GRU,31,Keras,Keras (mean),Keras (std),0.9999674975872039,9.750723838806152e-05
GRU,32,Keras,Keras (mean),Keras (std),0.9999549984931946,0.00013500452041625977
GRU,33,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,34,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,35,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,36,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,37,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,38,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,39,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,40,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,41,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,42,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,43,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,44,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,45,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,46,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,47,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,48,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,49,Keras,Keras (mean),Keras (std),1.0,0.0
GRU,50,Keras,Keras (mean),Keras (std),1.0,0.0
LeNet-5,1,PyTorch,PyTorch (mean),PyTorch (std),0.73987,0.1926268519703315
LeNet-5,2,PyTorch,PyTorch (mean),PyTorch (std),0.9637100000000001,0.017320245379324153
LeNet-5,3,PyTorch,PyTorch (mean),PyTorch (std),0.9773400000000001,0.0059836777988123615
LeNet-5,4,PyTorch,PyTorch (mean),PyTorch (std),0.98149,0.004477376463957437
LeNet-5,5,PyTorch,PyTorch (mean),PyTorch (std),0.98421,0.0042316545227605714
LeNet-5,6,PyTorch,PyTorch (mean),PyTorch (std),0.9863099999999999,0.0038124663932944977
LeNet-5,7,PyTorch,PyTorch (mean),PyTorch (std),0.9875699999999998,0.004090977878209554
LeNet-5,8,PyTorch,PyTorch (mean),PyTorch (std),0.9926600000000001,0.0023418795869984362
LeNet-5,9,PyTorch,PyTorch (mean),PyTorch (std),0.9945999999999999,0.0020770170918892224
LeNet-5,10,PyTorch,PyTorch (mean),PyTorch (std),0.99537,0.0019834565788037725
LeNet-5,11,PyTorch,PyTorch (mean),PyTorch (std),0.9958099999999999,0.001885974549138997
LeNet-5,12,PyTorch,PyTorch (mean),PyTorch (std),0.9962300000000001,0.0017692088627406205
LeNet-5,13,PyTorch,PyTorch (mean),PyTorch (std),0.9965299999999999,0.0017332339715110713
LeNet-5,14,PyTorch,PyTorch (mean),PyTorch (std),0.9968299999999999,0.0016595481312694639
LeNet-5,15,PyTorch,PyTorch (mean),PyTorch (std),0.99719,0.0015227934856703353
LeNet-5,16,PyTorch,PyTorch (mean),PyTorch (std),0.99733,0.001464274564417489
LeNet-5,17,PyTorch,PyTorch (mean),PyTorch (std),0.99738,0.0014168980203246953
LeNet-5,18,PyTorch,PyTorch (mean),PyTorch (std),0.99739,0.0014383671297690426
LeNet-5,19,PyTorch,PyTorch (mean),PyTorch (std),0.99739,0.0014166509803053256
LeNet-5,20,PyTorch,PyTorch (mean),PyTorch (std),0.9974500000000001,0.0014122676800096988
LeNet-5,21,PyTorch,PyTorch (mean),PyTorch (std),0.99746,0.0014015705476357514
LeNet-5,22,PyTorch,PyTorch (mean),PyTorch (std),0.9975200000000001,0.00136367151469846
LeNet-5,23,PyTorch,PyTorch (mean),PyTorch (std),0.9975100000000001,0.0013597426227047503
LeNet-5,24,PyTorch,PyTorch (mean),PyTorch (std),0.9975100000000001,0.0013597426227047503
LeNet-5,25,PyTorch,PyTorch (mean),PyTorch (std),0.9975000000000002,0.0013805795884337805
LeNet-5,26,PyTorch,PyTorch (mean),PyTorch (std),0.9975000000000002,0.0013805795884337805
LeNet-5,27,PyTorch,PyTorch (mean),PyTorch (std),0.9975200000000001,0.0013702554506368476
LeNet-5,28,PyTorch,PyTorch (mean),PyTorch (std),0.9975200000000001,0.0013702554506368476
LeNet-5,29,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,30,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,31,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,32,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,33,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,34,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,35,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,36,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,37,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,38,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,39,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,40,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,41,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,42,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,43,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,44,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,45,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,46,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,47,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,48,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,49,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
LeNet-5,50,PyTorch,PyTorch (mean),PyTorch (std),0.9975400000000001,0.0013602940858505536
ResNet-18,1,PyTorch,PyTorch (mean),PyTorch (std),0.5379,0.002141961717678443
